extension,repos,files
.com/go-openapi/jsonreference/license,122,208
.com/go-openapi/swag/license,122,208
.com/puerkitobio/purell/license,122,206
.com/puerkitobio/urlesc/license,122,206
.stylelintignore,122,154
.makefile,121,440
.io/api/license,121,243
.com/go-openapi/spec/license,121,186
.io/yaml/license,121,185
.tag,120,4203
.sgml,120,1466
.bin/esparse,120,408
.bin/esvalidate,120,401
.hxx,119,16141
.nsh,119,1375
.com/mattn/go-colorable/license,119,160
.org/x/net/html/charset/testdata/readme,119,142
.org/x/net/html/testdata/webkit/readme,119,142
.texi,118,2205
.rng,118,1993
.theme,118,999
.lintian-overrides,118,759
.apache2,118,437
.win32,118,344
.com/emicklei/go-restful/license,118,232
.com/burntsushi/toml/compatible,118,140
.stl,117,8810
.jsm,117,1608
.kml,117,999
.12,117,756
.com/googleapis/gnostic/license,117,195
.org/x/net/http2/h2demo/makefile,117,142
.org/x/net/http2/h2demo/readme,117,142
.msg,116,3880
.man,116,3092
.com/mitchellh/go-homedir/license,116,155
.com/golang/protobuf/makefile,116,133
.msc,115,565
.odp,115,485
.io/klog/license,115,194
.com/burntsushi/toml/makefile,115,136
.kokoro/docker/docs/dockerfile,115,115
.npy,114,2547
.mdb,114,615
.appxmanifest,114,610
.dump,113,6198
.gemfile,113,1370
.puml,113,1136
.drawio,113,426
.rhistory,113,395
.wsgi,113,281
.apache,113,257
.vimrc,113,245
.com/blang/semver/license,113,203
.shx,112,4490
.whl,112,1404
.elf,112,802
.com/emicklei/go-restful/srcfile,112,160
.org/x/net/webdav/internal/xml/readme,112,133
.z,111,5454
.thrift,111,2772
.factories,111,2029
.cbp,111,1437
.yapf,111,217
.com/gorilla/mux/license,111,214
.ruby-gemset,111,173
.com/golang/protobuf/protoc-gen-go/descriptor/makefile,111,130
.io/yaml/security_contacts,111,122
.erl,110,21165
.ext,110,1974
.war,110,762
.bin/js-yaml,110,231
.envrc,110,184
.com/golang/snappy/license,110,149
.st,109,335513
.slim,109,6923
.ls,109,1660
.cake,109,987
.postrm,109,937
.deps,109,924
.files,109,883
.unix,109,284
.io/apimachinery/pkg/apis/meta/v1/owners,109,144
.io/apimachinery/pkg/api/resource/owners,109,141
.toc,108,749
.rvmrc,108,138
.ppm,107,2593
.source,107,636
.timer,107,354
.1/readme,107,251
.com/gorilla/context/license,107,206
.io/utils/license,107,160
.phtml,106,19954
.module,106,8641
.jbuilder,106,1949
.socket,106,486
.bin/uuid,106,252
.bundle/config,106,133
.io/klog/security_contacts,106,121
.com/gogo/protobuf/golang_contributors,106,117
.aar,105,2966
.vc,105,1762
.app/contents/pkginfo,105,299
.docker,105,229
.io/apimachinery/pkg/api/meta/owners,105,138
.ipp,104,22089
.mtl,104,4025
.dic,104,1717
.target,104,1143
.20,104,458
.lgpl,104,220
.io/apimachinery/pkg/api/errors/owners,104,137
.com/hashicorp/hcl/license,104,136
.org/x/mod/license,104,110
.tld,103,2584
.shproj,103,544
.mms,103,506
.pubxml,103,384
.2/license,103,342
.development,103,140
.io/client-go/rest/owners,103,133
.com/golang/snappy/authors,103,125
.com/golang/snappy/contributors,103,125
.org/x/mod/patents,103,106
.pump,102,1335
.framework/versions/current,102,699
.projitems,102,526
.links,102,381
.darwin,102,187
.deflate,102,169
.io/client-go/tools/metrics/owners,102,132
.io/client-go/transport/owners,102,132
.com/prometheus/client_model/ruby/license,102,125
.com/go/authors,102,122
.com/go/contributors,102,122
.sig,101,12702
.rpm,101,5183
.layout,101,2364
.logrotate,101,413
.gpl,101,275
.0/copying,101,220
.realpath/license,101,184
.com/pborman/uuid/license,101,177
.protobuf,101,161
.io/kube-openapi/license,101,133
.com/peterbourgon/diskv/license,101,129
.org/x/net/readme,101,124
.com/golang/snappy/readme,101,122
.phpt,100,14549
.cl,100,7995
.ppt,100,579
.command,100,345
.natvis,100,308
.com/ugorji/go/license,100,185
.gzip,100,181
.com/evanphx/json-patch/license,100,172
.com/emicklei/go-restful/makefile,100,121
.gem,99,4461
.psd1,99,506
.pkg,98,2797
.13,98,561
.debug,98,444
.osx,98,175
.com/googleapis/gax-go/v2/license,98,147
.com/gorilla/websocket/license,98,147
.jinja,97,2521
.stub,97,1335
.file,97,272
.com/docker/distribution/license,97,170
.com/hashicorp/hcl/makefile,97,122
.git-id,96,6892
.rss,96,410
.tern-project,96,298
.solaris,96,196
