extension,repos,files
.3/opam,5,188
.gdbtablx,5,185
.rakumod,5,185
.gdbtable,5,184
.mhtml,5,181
.zarray,5,181
.ssd,5,167
.parsed,5,165
.pr,5,165
.gdbindexes,5,164
.osl,5,160
.eig,5,154
.ngdoc,5,149
.qdocinc,5,149
.trs,5,147
.emitter-error,5,144
.dsd,5,143
.dw,5,139
.lab,5,139
.lox,5,139
.pbi,5,138
.rsf,5,138
.len,5,136
.cm,5,135
.bif,5,134
.match,5,133
.bfo,5,130
.mrt,5,130
.bft,5,127
.wc,5,126
.mcw,5,125
.lookml,5,124
.4/opam,5,123
.clientconfig,5,123
.pull,5,123
.forth,5,120
.183,5,119
.pgw,5,119
.xqy,5,118
.hamlet,5,114
.interval_list,5,113
.lit,5,113
.program,5,112
.fchk,5,111
.gi,5,111
.dsn,5,109
.hrd,5,109
.rdl,5,109
.music,5,107
.0/status,5,106
.fz,5,106
.dal,5,102
.dri,5,102
.answer,4,23948
.aql,4,20130
.cygport,4,12537
.factor,4,9696
.fld,4,7419
.texture,4,7142
.kryo,4,4477
.jag,4,4119
.hoon,4,3805
.fut,4,3473
.semanticdb,4,2930
.ned,4,2884
.hgt,4,2881
.frozen,4,2527
.uasset,4,2254
.hl7,4,1685
.fsti,4,1573
.dig,4,1534
.jet,4,1457
.npc,4,1431
.sse,4,1407
.pddl,4,1399
.lif,4,1385
.glm,4,1292
.rle,4,1255
.cells,4,1074
.cb,4,1072
.mdpp,4,1071
.shex,4,981
.slang,4,972
.imba,4,955
.animation,4,945
.odin,4,945
.sprite,4,875
.gyb,4,832
.sdf3,4,830
.hpb,4,821
.miz,4,798
.txtar,4,763
.lb,4,746
.solution,4,738
.rsl,4,732
.sqldataprovider,4,698
.zoo,4,568
.sqs,4,559
.fab,4,509
.mad,4,498
.btf,4,497
.scalatex,4,479
.o2,4,478
.storyshot,4,457
.dialog,4,428
.sjson,4,405
.krmignore,4,402
.rpres,4,397
.blocks,4,395
.rts,4,385
.otl,4,383
.mlg,4,364
.pqr,4,354
.lrz,4,336
.ipt,4,318
.ts2,4,316
.mzn,4,299
.tasty,4,295
.success,4,291
.173,4,289
.pipe,4,288
.qry,4,286
.ssc,4,285
.eliom,4,268
.3dm,4,263
.pygtex,4,255
.smil,4,239
.tmbundle,4,239
.vtx,4,237
.owc,4,236
.cksum,4,232
.subr,4,231
.bdoc,4,230
.cps,4,224
.tpr,4,216
.lagda,4,214
.cvd,4,213
.jaxb,4,213
.kjb,4,211
.sbl,4,211
.ml4,4,200
.wal,4,199
.vlt,4,198
.dsptemplate,4,183
.jmk,4,181
.fzpz,4,179
.paml,4,179
.fidl,4,177
.gjf,4,175
.nr,4,174
.nunj,4,164
.ivf,4,158
.word,4,156
.nets,4,155
.babylon,4,144
.fast5,4,140
.fac,4,137
.mca,4,133
.bl,4,132
.trix,4,132
.ledger,4,129
.nsec3,4,129
.hwp,4,128
.lyr,4,128
.treeinfo,4,128
.gal,4,127
.astub,4,122
.cao,4,122
.het,4,121
.tec,4,121
.vot,4,120
.ctb,4,119
.classdiagram,4,118
.prn,4,115
.eta,4,114
.pmg,4,114
.pyste,4,114
.rtm,4,114
.ecs,4,113
.mpb,4,113
.godot,4,112
.hh~,4,111
.mtt,4,110
.fif,4,109
.nedb,4,109
.gpf,4,108
.h5ad,4,107
.seb,4,107
.mix,4,106
.namespace,4,106
.c3d,4,103
.vt,4,102
.javajet,4,101
.ckan,3,28412
.ring,3,19950
.qll,3,13284
.mmtf,3,8703
.xsb,3,7593
.move,3,4932
.tid,3,4740
.stmt,3,4087
.mas,3,2691
.ucm,3,2677
.qhelp,3,2315
.gmx,3,2207
.wms,3,1739
.xojo_code,3,1571
.facts,3,1491
.0/descr,3,1490
.0/url,3,1474
.wren,3,1462
.tei,3,1220
.dmm,3,1091
.pwn,3,1090
.mir,3,992
.enum,3,973
.shape,3,892
.do_not_update,3,883
.cellml,3,872
.gct,3,849
.widl,3,775
.pyde,3,773
.dods,3,710
.flagstat,3,684
.testconfig,3,670
.typemap,3,661
.ract,3,654
.umap,3,599
.hive,3,580
.wsmode,3,544
.alerts,3,540
.saw,3,529
.dzn,3,488
.glsles,3,460
.asice,3,456
.h-e,3,440
.xbl,3,438
.repr,3,435
.xojo_window,3,421
.lvs,3,409
.dyon,3,408
.grdp,3,390
.reference_output,3,385
.pir,3,363
.hrc,3,361
.kak,3,358
.yo,3,355
.build-id,3,354
.rtcp,3,352
.a1,3,327
.krl,3,322
.1/descr,3,316
.b3dm,3,310
.rib,3,304
.ccg,3,294
.esv,3,292
.tas,3,292
.go-e,3,291
.omd,3,290
.1/url,3,288
.sx,3,287
.pgc,3,282
.frcmod,3,274
.c2b,3,271
.pgt,3,271
.madx,3,263
.require,3,259
.ach,3,255
.changeset,3,246
.lepiter,3,246
.quest,3,245
.osg,3,242
.spring,3,241
.crn,3,240
.prs,3,238
.protoascii,3,233
.pkey,3,225
.face,3,224
.swiftdeps,3,223
.rsel,3,219
.rql,3,214
.tti,3,211
.unv,3,204
.alp,3,203
.parm,3,202
.jasp,3,201
.svx,3,201
.vqs,3,195
.bmx,3,193
.beancount,3,192
.sn,3,191
.java-e,3,190
.nodartcoverage,3,189
.rgf,3,189
.yin,3,187
.npt,3,185
.unw,3,184
.gdst,3,181
.vdb,3,179
.strtab,3,177
.symtab,3,177
.this_module,3,177
.dog,3,170
.ihex,3,163
.jpc,3,161
.gpml,3,157
.dvc,3,156
.esa,3,155
.wss,3,155
.swarming,3,154
.glvs,3,153
.rvt,3,153
.kiwi,3,151
.brep,3,150
.conflicts,3,149
.rodata,3,147
.erg,3,146
.alg,3,145
.jld,3,142
.sgx,3,142
.assert,3,141
.mapcss,3,140
.qip,3,140
.narrow,3,136
.isph,3,133
.psc,3,131
.glfs,3,128
.srcjar,3,128
.ubjson,3,126
.fgl,3,125
.wbn,3,124
.cdxml,3,123
.musicxml,3,123
.sng,3,121
.2/url,3,119
.3x,3,119
.swarm,3,118
.rfx,3,117
.2/descr,3,116
.tpkg,3,115
.im,3,113
.current_version,3,110
.jed,3,110
.m4s,3,110
.stex,3,108
.dol,3,106
.mxproject,3,106
.shapes,3,106
.dap,3,105
.dgs,3,104
.norm,3,104
.pyg,3,104
.op,3,103
.fpt,3,102
.rfa,3,102
.sense,3,102
.icproj,3,101
.blueprint,2,10405
.ump,2,7254
.whiley,2,6381
.hrx,2,3947
.stk,2,3448
.netkan,2,3260
.obda,2,2901
.qlref,2,2371
.blf,2,2361
.mcache,2,2356
.dbs,2,2319
.kerbalstuff,2,2000
.vtc,2,1954
.nou,2,1878
.xda,2,1675
.sil,2,1492
.cooked_physics,2,1448
.cache-3,2,1443
.cmmn,2,1387
.yul,2,1341
.udon,2,1287
.abo,2,1281
.objecttranslation,2,1256
.xiz,2,1242
.jnc,2,1224
.myb,2,1132
.bescmd,2,1104
.catalog_metadata,2,1029
.impala,2,973
.2da,2,945
.opi,2,879
.mock-http-headers,2,841
.elpi,2,822
.idf,2,822
.outb,2,817
.s3o,2,776
.rdr,2,771
.3do,2,757
.dbscheme,2,755
.genconf,2,739
.fjs,2,729
.xmesh,2,692
.cylc,2,666
.sli,2,662
.recon,2,627
.cdef,2,618
.sequence_manager,2,607
.gp5,2,592
.exml,2,590
.kit,2,589
.skf,2,568
.rde,2,567
.sax2,2,567
.gdm,2,531
.lore,2,504
.cdsl,2,501
.bincode,2,476
.bds,2,475
.lr,2,442
.jtr,2,437
.configfile,2,433
.fs-uae-controller,2,432
.__ivy_ngcc_bak,2,419
.gvl,2,414
.oda,2,412
.hhh,2,408
.gns3a,2,402
.gdl,2,401
.cru,2,400
.htt,2,391
.msx,2,387
.vrp,2,381
.rpk,2,379
.pax,2,376
.zrf,2,372
.fpm,2,366
.ols,2,362
.m2c,2,354
.sedx,2,343
.modulerc,2,335
.umd,2,334
.old~~,2,333
.zf,2,323
.smesh,2,318
.cyberduckprofile,2,316
.diviner,2,316
.osim,2,312
.babylonmeshdata,2,307
.scml,2,306
.emblem,2,305
.spvas,2,301
.widlprocxml,2,300
.gx/post-install,2,299
.weak,2,299
.xpath2,2,290
.gcl,2,287
.jaif,2,286
.yardopts-cloudrad,2,273
.nvt,2,270
.3pcap,2,265
.svndump,2,263
.blo,2,262
.tsc,2,259
.l0,2,250
.uavcan,2,243
.idsl,2,242
.couch,2,238
.mscx,2,238
.sinc,2,238
.geno,2,236
.hea,2,234
.cnb,2,231
.pscript,2,224
.ci_skip,2,221
.cmg,2,218
.biblatex,2,216
.mlw,2,216
.cmnd,2,214
.ghuser,2,214
.prove,2,212
.xfst,2,212
.a2,2,209
.pkc,2,209
.athw119,2,208
.3couchbase,2,202
.nlm,2,202
.tpb,2,197
.tptp,2,194
.ltxt,2,193
.sem,2,193
.waiver,2,193
.hlf,2,189
.gp4,2,183
.4clc,2,182
.4cp,2,182
.4cs,2,181
.4gh,2,181
.cpn,2,179
.about,2,173
.dpy,2,170
.fcl,2,170
.smdsl,2,169
.xcfg,2,169
.ict,2,168
.keyblock,2,168
.xojo_image,2,167
.after2,2,164
.mtf,2,163
.psyexp,2,158
.args=1,2,154
.0-r200,2,151
.wxcp,2,150
.cosmos,2,149
.amn,2,147
.vsc,2,147
.warn,2,147
.elem,2,146
.cpm,2,145
.fxl,2,144
.okl,2,144
.dune,2,142
.gcss,2,142
.jls,2,142
.mmn,2,141
".0-cmp-db2,informix,ms-sql,mysql,oracle,solid,sybase",2,140
.sxg,2,140
.iol,2,134
.nwod,2,134
.gps,2,131
.yasnippet,2,130
.combinations,2,129
.aam,2,128
.prot,2,128
.gplot,2,127
.inn,2,125
.1_install,2,122
.cspec,2,121
.gsvar,2,121
.viw,2,121
.ombu,2,120
.stapler,2,120
.args=3,2,114
.oldbackup,2,114
.webpack4,2,114
.webpack5,2,114
.xcas,2,113
.xml_hidden,2,113
.scx,2,112
.llk,2,111
.exfail,2,110
.lhe,2,110
.apinotes,2,109
.matter,2,109
.dssp,2,108
.sbp,2,106
.checks,2,105
.chcfg,2,104
.gutx,2,104
.03/descr,2,103
.03/opam,2,103
.03/url,2,103
.asics,2,103
.notwrapped,2,103
.args=2,2,101
.stlx,2,101
